"domainAnalyse-name";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"femal"
"enum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"oneval";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"oneval";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"enum";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Female"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"oneval";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"FEMALE"
