"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"false";"avg_length";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"count_nulls";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"count_not_nulls";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"true";"first_x";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"true";"last_x";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"true";"quantiles";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"distinct";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"unique";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"min";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"max";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"median";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"sum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"avg";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"std";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"var";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"non_unique";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"duplicate";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"count";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"count_nulls";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"false";"count_not_nulls";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"true";"first_x";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"true";"last_x";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
